group_id,group_name,company,status,group_type,music_show_awards,end_year_awards,physical_sales,organic_youtube_views,debut_date,sun_sign
64,BOYNEXTDOOR,KOZ Entertainment,Active,Boy Group,13,4,4225941,256799963,2023-05-23,Gemini
65,Girl's Generation,SM Entertainment Co. Ltd.,Active,Girl Group,94,45,3630065,3280045842,2007-08-05,Leo
66,TVXQ!,SM Entertainment Co. Ltd.,Active,Boy Group,23,30,3392154,650637741,2003-12-26,Capricorn
67,NCT Wish,SM Entertainment Co. Ltd.,Active,Boy Group,7,3,3132329,91169480,2024-02-21,Pisces
68,SHINee,SM Entertainment Co. Ltd.,Active,Boy Group,69,34,3125627,1308559512,2008-05-25,Gemini
69,CRAVITY,Starship Entertainment,Active,Boy Group,7,2,2355548,173403283,2020-04-04,Aries
70,TWS,Pledis Entertainment,Active,Boy Group,14,5,2324344,168155469,2024-01-22,Aquarius
71,WayV,SM Entertainment Co. Ltd.,Active,Boy Group,4,2,2147394,450508649,2019-01-17,Capricorn
72,STAYC,High Up Entertainment,Active,Girl Group,21,7,1896165,531810543,2020-11-12,Scorpio
73,Infinite,INFINITE Company,Active,Boy Group,43,17,1831730,433172581,2010-06-09,Gemini
74,SF9,FNC Entertainment,Active,Boy Group,6,0,1801596,321151700,2016-10-05,Libra
75,ASTRO,Fantagio,Active,Boy Group,13,2,1782644,533442234,2016-02-23,Pisces
76,BABYMONSTER,YG Entertainment Inc.,Active,Girl Group,1,2,1747067,1810459159,2023-11-27,Sagittarius
77,P1Harmony,FNC Entertainment,Active,Boy Group,6,1,1666395,162540002,2020-10-28,Scorpio
78,ONEUS,RBW,Active,Boy Group,8,0,1641554,369360640,2019-01-09,Capricorn
79,Kep1er,Klap Entertainment,Active,Girl Group,6,4,1634481,488647181,2022-01-03,Capricorn
80,CNBlue,FNC Entertainment,Active,Boy Group,35,25,1343981,287055611,2010-01-14,Capricorn
81,VIXX,Jellyfish Entertainment,Active,Boy Group,30,7,1342848,300622762,2012-05-24,Gemini
82,Dreamcatcher,Dreamcatcher Company,Active,Girl Group,4,0,1228151,631239773,2017-01-13,Capricorn
83,BTOB,,Active,Boy Group,17,7,1189542,625848242,2012-03-22,Aries
84,tripleS,MODHAUS,Active,Girl Group,4,2,1143782,182871431,2023-02-13,Aquarius
85,Winner,YG Entertainment Inc.,Active,Boy Group,24,5,1032476,773453039,2014-08-12,Leo
86,xikers,KQ Entertainment,Active,Boy Group,0,0,997700,119024199,2023-03-30,Aries
87,2PM,JYP Entertainment Corp.,Active,Boy Group,41,11,969382,536059399,2008-09-04,Virgo
88,fromis_9,ASND,Active,Girl Group,13,0,939452,371997344,2018-01-24,Aquarius
89,ONF,WM Entertainment,Active,Boy Group,4,0,935568,132078944,2017-08-02,Leo
90,KARA,RBW,Active,Girl Group,28,9,896926,588409208,2007-03-29,Aries
91,Apink,IST Entertainment,Active,Girl Group,52,14,829855,966356898,2011-04-19,Aries
92,TEMPEST,Yuehua Entertainment,Active,Boy Group,4,1,738527,81694295,2022-03-02,Pisces
93,FTISLAND,FNC Entertainment,Active,Boy Group,17,10,707898,241471076,2007-06-07,Gemini
94,KickFlip,JYP Entertainment Corp.,Active,Boy Group,0,1,689326,55287363,2025-01-20,Aquarius
95,Xdinary Heroes,Studio J,Active,Boy Group,0,3,662760,161791892,2021-12-06,Sagittarius
96,T-ara,MBK Entertainment,Active,Girl Group,25,7,642756,941624634,2009-07-29,Leo
97,Oh My Girl,WM Entertainment,Active,Girl Group,21,5,612392,506380376,2015-04-20,Taurus
98,Hearts2Hearts,SM Entertainment Co. Ltd.,Active,Girl Group,1,1,420032,81611425,2025-02-24,Pisces
99,N.Flying,FNC Entertainment,Active,Boy Group,3,1,417511,154018253,2015-05-20,Taurus
100,Billlie,Mystic Story,Active,Girl Group,1,1,379313,153862971,2021-11-10,Scorpio
101,NiziU,JYP Entertainment + Sony Music Ent. Japan,Active,Girl Group,2,0,325434,1139651697,2020-06-30,Cancer
102,Kiss of Life,S2 Entertainment,Active,Girl Group,3,4,296248,354431014,2023-07-05,Cancer
103,VIVIZ,BPM Entertainment,Active,Girl Group,2,0,293938,190247189,2022-02-09,Aquarius
104,EVERGLOW,Yuehua Entertainment,Active,Girl Group,3,0,279807,1034716924,2019-03-18,Pisces
105,8TURN,MNH Entertainment,Active,Boy Group,0,0,266349,39928994,2023-01-30,Aquarius
106,A.C.E,Swing Entertainment,Active,Boy Group,0,0,263092,128817417,2017-05-23,Gemini
107,OnlyOneOf,8D Entertainment,Active,Boy Group,0,0,259944,66954509,2019-05-28,Gemini
108,izna,WAKEONE Entertainment,Active,Girl Group,2,0,258381,72170580,2024-11-25,Sagittarius
109,Brown Eyed Girls,Mystic Story,Active,Girl Group,12,9,252881,193963671,2006-03-02,Pisces
110,MEOVV,The Black Label,Active,Girl Group,2,1,250118,178205531,2024-09-06,Virgo
111,Purple Kiss,RBW,Active,Girl Group,0,0,240681,129265851,2021-03-15,Pisces
112,Close Your Eyes,Uncore,Active,Boy Group,2,0,197268,8175635,2025-04-02,Aries
113,UNIS,F&F Entertainment,Active,Girl Group,1,1,170182,64938997,2024-03-27,Aries
114,EXID,Banana Culture,Active,Girl Group,22,2,147710,810132149,2012-02-16,Aquarius
115,FIFTY FIFTY,Attrakt Creative Group,Active,Girl Group,0,3,114115,404560613,2022-11-18,Scorpio
116,The Rose,Windfall,Active,Boy Group,0,0,104420,209840020,2017-08-03,Leo
117,XG,XGALX,Active,Girl Group,0,0,100597,804164674,2022-03-18,Pisces
118,KARD,DSP Media,Active,Co-ed Group,0,0,99861,745149765,2016-12-13,Cancer
119,YOUNG POSSE,DSP Media,Active,Girl Group,0,0,29590,57884233,2023-10-18,Libra
120,XLOV,257 Entertainment,Active,Boy Group,0,0,22342,6775056,2025-01-07,Capricorn
